Image, gender, leyex, leyey, reyex, reyey, nosex, nosey, lmouthx, lmouthy, rmouthx, rmouthy
000108.jpg, 0, 68, 112, 109, 112, 90, 136, 67, 151, 109, 151
000109.jpg, 1, 70, 111, 107, 111, 88, 139, 72, 153, 105, 153
000110.jpg, 0, 66, 113, 111, 112, 86, 142, 65, 150, 111, 149
000111.jpg, 0, 68, 111, 109, 112, 79, 140, 67, 150, 111, 152
000112.jpg, 0, 67, 112, 110, 112, 86, 136, 65, 150, 112, 150
000113.jpg, 1, 69, 112, 109, 111, 88, 137, 70, 152, 106, 151
000114.jpg, 1, 69, 111, 108, 112, 89, 138, 72, 153, 107, 151
000115.jpg, 1, 72, 111, 106, 110, 87, 135, 74, 154, 102, 154
000116.jpg, 1, 68, 112, 109, 111, 90, 136, 66, 152, 110, 150
000117.jpg, 0, 69, 111, 108, 111, 83, 131, 72, 153, 105, 151
000118.jpg, 0, 69, 113, 109, 111, 97, 143, 69, 153, 107, 150
000120.jpg, 1, 75, 109, 103, 108, 120, 136, 69, 153, 106, 161
000121.jpg, 0, 68, 112, 109, 112, 87, 139, 68, 151, 109, 151
000122.jpg, 0, 68, 112, 109, 112, 86, 137, 67, 151, 110, 151
000123.jpg, 1, 70, 111, 107, 111, 84, 134, 72, 152, 104, 153
000124.jpg, 0, 71, 111, 107, 110, 96, 137, 74, 154, 102, 152
000125.jpg, 1, 69, 111, 108, 111, 87, 136, 69, 153, 109, 151
000126.jpg, 0, 68, 112, 109, 112, 80, 139, 69, 150, 108, 152
000128.jpg, 0, 69, 113, 109, 110, 94, 140, 68, 154, 106, 149
000129.jpg, 1, 69, 111, 107, 111, 86, 140, 70, 152, 108, 152
000130.jpg, 1, 70, 111, 107, 111, 87, 139, 73, 154, 103, 152
000131.jpg, 0, 69, 111, 108, 112, 76, 138, 68, 150, 110, 153
000132.jpg, 0, 68, 111, 109, 112, 84, 138, 68, 150, 110, 152
000133.jpg, 0, 69, 112, 109, 111, 90, 141, 69, 151, 107, 152
000134.jpg, 1, 70, 108, 105, 113, 75, 137, 71, 153, 110, 154
000135.jpg, 1, 70, 112, 108, 110, 93, 141, 67, 151, 108, 153
000136.jpg, 1, 70, 111, 107, 110, 81, 136, 70, 152, 106, 154
000139.jpg, 0, 70, 111, 107, 110, 78, 138, 70, 152, 106, 153
000140.jpg, 0, 70, 111, 107, 111, 93, 134, 72, 152, 104, 153
000141.jpg, 0, 70, 111, 107, 111, 88, 133, 74, 152, 103, 153
000142.jpg, 0, 70, 111, 107, 111, 90, 137, 74, 153, 102, 153
000143.jpg, 1, 69, 112, 109, 111, 84, 134, 69, 152, 108, 151
000145.jpg, 0, 68, 112, 109, 111, 95, 139, 65, 152, 111, 150
000146.jpg, 0, 73, 112, 106, 108, 109, 136, 70, 155, 103, 154
000147.jpg, 0, 69, 111, 108, 111, 89, 133, 75, 151, 102, 152
000148.jpg, 0, 73, 110, 105, 109, 98, 134, 75, 157, 101, 153
000150.jpg, 1, 71, 112, 107, 110, 90, 137, 75, 153, 100, 153
000151.jpg, 0, 69, 112, 109, 111, 92, 142, 64, 152, 112, 151
000153.jpg, 1, 68, 111, 109, 112, 89, 138, 67, 150, 110, 152
000155.jpg, 0, 67, 111, 109, 113, 86, 143, 67, 151, 111, 150
000156.jpg, 0, 68, 111, 108, 112, 81, 136, 69, 151, 109, 152
000157.jpg, 0, 69, 111, 108, 111, 89, 132, 73, 152, 104, 151
000158.jpg, 1, 70, 111, 107, 111, 81, 133, 72, 153, 106, 152
000159.jpg, 0, 69, 105, 103, 115, 72, 142, 79, 152, 107, 156
000160.jpg, 1, 70, 111, 107, 111, 88, 140, 73, 152, 104, 152
000161.jpg, 0, 68, 111, 109, 112, 85, 134, 69, 151, 109, 152
000162.jpg, 0, 70, 112, 108, 110, 81, 125, 71, 153, 104, 151
000163.jpg, 0, 69, 112, 109, 111, 81, 132, 73, 151, 102, 152
000164.jpg, 1, 71, 111, 106, 110, 85, 131, 72, 154, 104, 153
000165.jpg, 0, 71, 111, 106, 110, 92, 134, 74, 154, 102, 153
000168.jpg, 0, 68, 114, 111, 110, 98, 141, 64, 153, 109, 147
000169.jpg, 1, 69, 110, 107, 112, 93, 122, 75, 152, 105, 153
000170.jpg, 0, 69, 112, 108, 111, 88, 136, 72, 151, 105, 152
000171.jpg, 1, 70, 111, 107, 111, 95, 138, 73, 152, 104, 154
000172.jpg, 0, 70, 112, 108, 110, 82, 134, 70, 153, 105, 152
000173.jpg, 0, 66, 112, 110, 113, 87, 139, 69, 149, 109, 150
000174.jpg, 0, 68, 111, 108, 112, 86, 139, 67, 151, 110, 151
000175.jpg, 0, 68, 111, 108, 113, 81, 143, 69, 149, 110, 153
000176.jpg, 0, 68, 112, 109, 111, 90, 133, 70, 152, 106, 151
000177.jpg, 0, 73, 109, 104, 110, 101, 132, 79, 157, 98, 154
000178.jpg, 0, 67, 111, 109, 113, 87, 144, 67, 151, 111, 150
000179.jpg, 0, 69, 112, 108, 111, 83, 138, 72, 151, 104, 152
000180.jpg, 0, 68, 111, 109, 113, 86, 137, 72, 151, 106, 151
000181.jpg, 1, 68, 109, 107, 113, 80, 137, 70, 149, 111, 155
000182.jpg, 1, 70, 111, 107, 111, 90, 130, 71, 153, 106, 152
000183.jpg, 0, 68, 111, 109, 112, 79, 139, 67, 149, 111, 153
000184.jpg, 0, 71, 108, 104, 112, 71, 140, 78, 153, 102, 156
000185.jpg, 0, 70, 113, 108, 109, 81, 126, 72, 154, 102, 151
000186.jpg, 0, 71, 112, 107, 110, 77, 135, 72, 152, 103, 154
000187.jpg, 1, 69, 111, 108, 111, 79, 136, 67, 151, 110, 153
000190.jpg, 0, 70, 112, 108, 111, 85, 133, 73, 153, 103, 151
000191.jpg, 0, 66, 112, 110, 113, 84, 146, 66, 149, 112, 150
000192.jpg, 0, 66, 113, 111, 112, 94, 135, 66, 149, 110, 149
000194.jpg, 1, 69, 111, 108, 111, 78, 135, 67, 152, 109, 152
000197.jpg, 1, 70, 111, 107, 111, 79, 137, 73, 152, 105, 153
000198.jpg, 0, 69, 111, 108, 112, 93, 138, 72, 152, 105, 151
000200.jpg, 1, 70, 111, 107, 111, 84, 137, 74, 153, 103, 152
000201.jpg, 0, 69, 112, 108, 111, 85, 133, 73, 153, 104, 151
000203.jpg, 1, 70, 111, 107, 111, 92, 134, 72, 153, 104, 153
000204.jpg, 0, 68, 112, 109, 111, 85, 136, 66, 151, 110, 151
000205.jpg, 1, 70, 111, 107, 111, 92, 135, 72, 152, 105, 153
000206.jpg, 1, 70, 110, 106, 112, 74, 136, 72, 153, 107, 153
000207.jpg, 0, 70, 111, 107, 110, 90, 129, 75, 153, 101, 152
000208.jpg, 0, 67, 113, 110, 112, 89, 141, 69, 149, 107, 151
000209.jpg, 1, 69, 112, 108, 111, 92, 142, 65, 152, 110, 151
000211.jpg, 0, 69, 111, 107, 112, 90, 139, 73, 152, 105, 152
000212.jpg, 1, 70, 111, 107, 110, 90, 134, 74, 153, 102, 153
000213.jpg, 1, 69, 111, 108, 111, 89, 137, 72, 152, 106, 153
000214.jpg, 1, 69, 112, 109, 111, 89, 139, 68, 151, 109, 152
000215.jpg, 1, 70, 111, 107, 111, 92, 135, 72, 152, 105, 153
000216.jpg, 0, 69, 111, 108, 111, 88, 137, 74, 152, 103, 152
000217.jpg, 0, 70, 111, 107, 111, 87, 136, 72, 151, 105, 153
000218.jpg, 0, 69, 112, 108, 111, 95, 133, 70, 152, 106, 151
000219.jpg, 0, 68, 110, 107, 113, 82, 141, 74, 151, 106, 153
000220.jpg, 1, 71, 111, 107, 110, 96, 137, 73, 154, 102, 153
000221.jpg, 1, 71, 111, 106, 110, 88, 136, 73, 153, 103, 154
000222.jpg, 0, 67, 112, 110, 112, 85, 136, 71, 150, 105, 150
000223.jpg, 1, 71, 111, 107, 110, 89, 141, 68, 152, 108, 154
000224.jpg, 1, 69, 112, 108, 111, 86, 145, 73, 151, 104, 153
000225.jpg, 0, 65, 111, 110, 114, 85, 145, 68, 148, 112, 150
000226.jpg, 1, 67, 112, 110, 112, 88, 129, 67, 151, 110, 150
000227.jpg, 1, 74, 110, 103, 109, 106, 134, 76, 157, 100, 155
000230.jpg, 1, 70, 111, 107, 111, 97, 134, 69, 152, 107, 153
000231.jpg, 0, 69, 112, 108, 111, 85, 125, 73, 152, 104, 151
000232.jpg, 0, 70, 112, 108, 110, 75, 131, 68, 153, 107, 152
000235.jpg, 1, 70, 112, 108, 111, 85, 136, 72, 152, 104, 153
000236.jpg, 0, 68, 112, 109, 112, 83, 141, 72, 150, 106, 151
000238.jpg, 0, 69, 110, 108, 112, 96, 131, 75, 151, 103, 152
000239.jpg, 0, 68, 112, 109, 112, 88, 137, 65, 151, 111, 151
000240.jpg, 0, 74, 107, 101, 110, 69, 129, 82, 157, 97, 157
000242.jpg, 1, 69, 111, 108, 111, 93, 139, 73, 152, 104, 151
000244.jpg, 1, 70, 111, 107, 111, 93, 137, 74, 152, 103, 153
000246.jpg, 0, 73, 109, 104, 110, 75, 136, 78, 155, 100, 156
000247.jpg, 0, 67, 111, 109, 112, 83, 139, 67, 150, 110, 151
000248.jpg, 1, 70, 110, 106, 111, 89, 129, 73, 153, 104, 153
000249.jpg, 0, 67, 112, 110, 113, 88, 142, 66, 150, 111, 150
000250.jpg, 1, 70, 111, 107, 111, 87, 130, 73, 152, 104, 153
000251.jpg, 0, 70, 109, 106, 112, 101, 129, 76, 153, 103, 153
000253.jpg, 1, 72, 110, 106, 110, 98, 135, 76, 154, 100, 154
000254.jpg, 0, 67, 112, 109, 112, 89, 136, 65, 151, 112, 150
000255.jpg, 1, 69, 112, 108, 111, 90, 135, 74, 151, 103, 153
000256.jpg, 0, 69, 111, 107, 112, 99, 136, 72, 152, 106, 153
000257.jpg, 0, 70, 111, 107, 111, 81, 131, 74, 152, 103, 153
000258.jpg, 0, 68, 112, 109, 111, 87, 135, 72, 151, 105, 151
000259.jpg, 0, 71, 112, 107, 110, 92, 138, 70, 153, 104, 152
000260.jpg, 0, 69, 112, 108, 111, 95, 139, 72, 153, 104, 151
000261.jpg, 1, 72, 110, 106, 110, 100, 135, 73, 154, 103, 154
000262.jpg, 0, 68, 112, 109, 111, 91, 142, 66, 152, 110, 151
000263.jpg, 0, 69, 111, 108, 112, 89, 135, 73, 152, 104, 151
000265.jpg, 1, 72, 111, 105, 109, 94, 134, 73, 155, 102, 154
000267.jpg, 0, 70, 111, 107, 111, 84, 137, 72, 153, 104, 152
000268.jpg, 0, 70, 111, 107, 111, 88, 133, 72, 152, 105, 153
000269.jpg, 0, 68, 111, 109, 112, 82, 137, 69, 150, 108, 152
000270.jpg, 0, 68, 112, 110, 112, 86, 137, 66, 150, 110, 151
000271.jpg, 0, 70, 112, 108, 110, 89, 136, 69, 153, 107, 151
000272.jpg, 1, 70, 112, 107, 110, 82, 135, 67, 151, 109, 155
000273.jpg, 0, 68, 111, 108, 112, 84, 133, 70, 151, 108, 152
000274.jpg, 1, 68, 112, 109, 112, 89, 134, 65, 151, 112, 152
000277.jpg, 1, 68, 112, 109, 112, 86, 140, 66, 150, 110, 151
000278.jpg, 0, 69, 112, 109, 111, 89, 136, 70, 152, 106, 151
000279.jpg, 0, 69, 110, 107, 112, 79, 139, 73, 153, 106, 152
000281.jpg, 0, 71, 110, 106, 111, 78, 133, 75, 153, 102, 154
000282.jpg, 1, 69, 110, 107, 112, 84, 132, 69, 152, 109, 153
000283.jpg, 1, 74, 110, 104, 109, 105, 132, 74, 155, 101, 158
000284.jpg, 1, 67, 112, 110, 112, 91, 131, 69, 150, 108, 150
000285.jpg, 0, 69, 111, 108, 112, 91, 139, 72, 152, 105, 151
000286.jpg, 1, 70, 111, 108, 111, 86, 138, 70, 152, 107, 152
000287.jpg, 0, 70, 111, 107, 111, 93, 135, 75, 153, 102, 152
000288.jpg, 0, 69, 111, 108, 111, 85, 130, 74, 152, 104, 152
000289.jpg, 0, 70, 111, 107, 111, 84, 137, 72, 153, 105, 153
000290.jpg, 0, 70, 112, 108, 111, 85, 126, 74, 153, 102, 152
000292.jpg, 0, 69, 112, 109, 111, 88, 136, 74, 151, 101, 152
000295.jpg, 1, 69, 109, 106, 112, 76, 130, 75, 151, 105, 154
000296.jpg, 0, 69, 111, 108, 111, 83, 135, 68, 151, 108, 152
000297.jpg, 1, 70, 111, 107, 111, 91, 137, 74, 153, 103, 153
000298.jpg, 1, 67, 112, 110, 112, 89, 141, 64, 151, 113, 150
000299.jpg, 1, 68, 112, 109, 112, 87, 137, 69, 150, 108, 152
000300.jpg, 1, 68, 111, 109, 112, 86, 133, 67, 150, 111, 152
000301.jpg, 0, 68, 112, 109, 112, 89, 137, 66, 151, 111, 151
000302.jpg, 0, 67, 112, 110, 112, 90, 139, 69, 150, 108, 150
000303.jpg, 0, 70, 112, 108, 110, 83, 131, 72, 151, 103, 153
000304.jpg, 0, 70, 110, 107, 111, 93, 134, 74, 154, 103, 152
000305.jpg, 0, 69, 111, 108, 111, 86, 139, 70, 153, 107, 152
000306.jpg, 1, 71, 111, 106, 110, 88, 136, 73, 153, 103, 154
000307.jpg, 1, 69, 111, 108, 112, 89, 138, 73, 151, 104, 152
000311.jpg, 1, 69, 111, 108, 111, 91, 131, 72, 152, 105, 152
000312.jpg, 0, 67, 111, 109, 112, 89, 141, 73, 150, 105, 151
000313.jpg, 1, 69, 112, 109, 111, 90, 144, 67, 152, 109, 151
000315.jpg, 0, 69, 110, 107, 112, 89, 132, 76, 153, 102, 152
000316.jpg, 1, 72, 111, 106, 110, 100, 133, 71, 155, 105, 153
000317.jpg, 0, 68, 109, 106, 114, 77, 139, 68, 150, 113, 155
000319.jpg, 0, 73, 109, 103, 110, 100, 135, 77, 156, 101, 155
000320.jpg, 1, 70, 111, 107, 111, 82, 138, 74, 153, 103, 153
000322.jpg, 0, 69, 112, 108, 111, 88, 140, 69, 152, 107, 151
000323.jpg, 0, 70, 113, 108, 110, 83, 128, 70, 153, 105, 151
000324.jpg, 1, 69, 111, 108, 111, 89, 138, 70, 152, 107, 152
000325.jpg, 0, 69, 112, 108, 111, 90, 138, 67, 152, 110, 151
000326.jpg, 0, 70, 110, 106, 111, 83, 137, 75, 152, 103, 154
000328.jpg, 0, 71, 112, 107, 109, 98, 142, 71, 153, 103, 154
000329.jpg, 1, 70, 112, 108, 110, 77, 136, 70, 153, 105, 152
000331.jpg, 1, 70, 111, 107, 111, 87, 134, 73, 153, 103, 153
000332.jpg, 0, 70, 111, 107, 111, 91, 132, 73, 152, 104, 152
000334.jpg, 0, 68, 112, 109, 112, 86, 134, 67, 150, 110, 151
000336.jpg, 1, 67, 113, 110, 112, 88, 129, 67, 150, 109, 150
000337.jpg, 0, 69, 112, 108, 111, 90, 132, 73, 152, 103, 152
000340.jpg, 1, 68, 112, 109, 112, 92, 143, 67, 151, 110, 150
000341.jpg, 0, 69, 110, 107, 112, 74, 139, 69, 150, 110, 155
000342.jpg, 0, 70, 112, 108, 110, 94, 137, 74, 154, 101, 151
000343.jpg, 0, 71, 111, 107, 110, 94, 136, 73, 153, 103, 153
000344.jpg, 0, 68, 111, 109, 112, 89, 126, 73, 151, 105, 151
000345.jpg, 0, 69, 112, 108, 112, 90, 138, 74, 153, 103, 150
000346.jpg, 1, 72, 111, 106, 110, 91, 138, 73, 154, 103, 154
000347.jpg, 0, 70, 113, 109, 109, 93, 138, 73, 153, 100, 151
000349.jpg, 0, 69, 111, 108, 112, 88, 134, 71, 152, 107, 151
000351.jpg, 0, 71, 112, 107, 110, 82, 133, 73, 154, 102, 152
000352.jpg, 1, 68, 111, 108, 112, 90, 134, 67, 150, 110, 152
000353.jpg, 0, 67, 113, 110, 112, 89, 141, 66, 150, 110, 150
000354.jpg, 0, 67, 112, 110, 113, 84, 133, 66, 150, 112, 150
000355.jpg, 1, 70, 111, 107, 111, 88, 132, 74, 152, 103, 152
000356.jpg, 0, 69, 111, 108, 111, 91, 136, 73, 152, 103, 152
000357.jpg, 0, 68, 111, 109, 112, 87, 142, 66, 151, 111, 151
000358.jpg, 1, 68, 112, 109, 111, 90, 141, 66, 152, 109, 150
000359.jpg, 0, 68, 112, 109, 112, 88, 140, 65, 151, 111, 150
000360.jpg, 1, 70, 111, 107, 111, 90, 138, 76, 153, 101, 153
000361.jpg, 0, 70, 110, 106, 111, 90, 132, 75, 153, 102, 153
000362.jpg, 1, 69, 111, 108, 112, 89, 133, 73, 152, 104, 151
000363.jpg, 1, 70, 113, 108, 110, 78, 128, 71, 153, 103, 151
000364.jpg, 0, 68, 112, 110, 112, 87, 133, 67, 150, 109, 151
000365.jpg, 0, 69, 112, 108, 111, 84, 133, 70, 152, 106, 152
000367.jpg, 1, 71, 109, 106, 111, 86, 131, 74, 153, 104, 154
000368.jpg, 1, 69, 111, 108, 112, 90, 135, 68, 152, 109, 151
000369.jpg, 0, 69, 111, 108, 112, 94, 130, 71, 150, 106, 153
000370.jpg, 1, 71, 110, 105, 111, 96, 134, 76, 154, 101, 154
000371.jpg, 0, 72, 111, 105, 109, 76, 134, 75, 153, 100, 156
000372.jpg, 0, 70, 110, 106, 111, 74, 138, 71, 151, 107, 155
000374.jpg, 0, 69, 112, 108, 111, 89, 123, 74, 153, 102, 151
000376.jpg, 1, 70, 112, 108, 111, 80, 125, 71, 153, 105, 151
000377.jpg, 1, 70, 111, 107, 111, 87, 136, 73, 152, 104, 153
000378.jpg, 1, 74, 112, 105, 108, 100, 138, 70, 155, 104, 156
000379.jpg, 0, 69, 110, 106, 112, 100, 130, 76, 153, 103, 152
000380.jpg, 1, 71, 111, 106, 110, 95, 137, 71, 155, 105, 153
000381.jpg, 0, 68, 111, 109, 112, 78, 139, 68, 150, 109, 152
000382.jpg, 0, 67, 111, 109, 113, 88, 136, 65, 151, 113, 151
000384.jpg, 0, 67, 112, 109, 112, 83, 133, 69, 149, 109, 152
000385.jpg, 1, 71, 109, 105, 112, 104, 131, 69, 153, 110, 155
000386.jpg, 1, 70, 111, 107, 111, 88, 132, 73, 153, 104, 152
000388.jpg, 0, 68, 111, 109, 112, 90, 131, 70, 151, 108, 151
000389.jpg, 1, 70, 111, 107, 111, 92, 144, 70, 154, 107, 151
000390.jpg, 1, 68, 111, 108, 112, 88, 122, 69, 150, 108, 152
000391.jpg, 0, 67, 112, 110, 112, 82, 135, 67, 149, 110, 151
000393.jpg, 1, 66, 111, 110, 114, 79, 144, 68, 149, 112, 151
000394.jpg, 0, 69, 112, 109, 111, 93, 139, 64, 152, 112, 151
000396.jpg, 0, 69, 111, 108, 112, 85, 136, 67, 152, 111, 151
000397.jpg, 0, 69, 112, 108, 111, 93, 139, 71, 152, 104, 152
000398.jpg, 1, 70, 112, 108, 110, 85, 134, 74, 152, 102, 153
000399.jpg, 0, 69, 111, 108, 111, 88, 134, 73, 152, 103, 152
000401.jpg, 1, 70, 111, 107, 111, 87, 134, 73, 152, 104, 154
000405.jpg, 1, 71, 110, 106, 111, 82, 135, 76, 153, 101, 154
000406.jpg, 1, 67, 111, 109, 113, 94, 136, 69, 150, 109, 151
000407.jpg, 0, 71, 111, 106, 110, 73, 132, 70, 153, 106, 154
000409.jpg, 1, 72, 110, 105, 110, 78, 132, 74, 154, 102, 154
000411.jpg, 0, 69, 111, 107, 112, 84, 136, 64, 152, 114, 153
000412.jpg, 0, 70, 111, 108, 111, 83, 138, 71, 152, 106, 152
000413.jpg, 1, 70, 113, 109, 110, 100, 141, 61, 155, 113, 149
000414.jpg, 1, 70, 111, 107, 111, 89, 135, 73, 152, 105, 153
000415.jpg, 0, 69, 111, 108, 111, 87, 138, 74, 152, 103, 152
000417.jpg, 1, 82, 107, 96, 104, 110, 133, 81, 164, 93, 162
000418.jpg, 1, 69, 113, 109, 110, 79, 130, 70, 151, 104, 152
000419.jpg, 0, 69, 112, 108, 111, 89, 130, 70, 152, 106, 152
000420.jpg, 0, 67, 112, 110, 112, 89, 130, 68, 151, 109, 149
000421.jpg, 0, 70, 111, 107, 111, 96, 136, 74, 153, 104, 153
000422.jpg, 0, 68, 112, 109, 112, 88, 134, 70, 151, 108, 151
000423.jpg, 0, 69, 111, 108, 111, 89, 134, 77, 152, 100, 152
